,タイトル,URL,ソース,日付
95,「1枚の写真が撮影された場所と年」を知識と推理力をフル動員して当てる「TimeGuessr」に挑戦してみた,https://gigazine.net/news/20230821-timeguessr/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
96,夏を盛り上げる、お得なキャンペーン！バーガーキング「2コ得（ニコトク）」開催,https://itlifehack.jp/archives/10675140.html,ITライフハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
97,シアーシャ・ローナン＆ポール・メスカル主演のSF新作「Foe」は10月公開,https://eiga.com/news/20230821/26/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
98,豚だしと沖縄の味「シママース」のあっさり風味でつるっと食べられる「明星 食べて応援 沖縄そばタテ型」試食レビュー,https://gigazine.net/news/20230821-myojofoods-supporting-through-eating-okinawa-soba/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
99,わたせせいぞうの画業50年『COLORFUL わたせせいぞうミュージック・コレクション』,http://bluediary2.jugem.jp/?eid=7062,青い日記帳,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
100,「ハイパーハードボイルドグルメリポート」上出遼平が原作・監督のオリジナルアニメ「URAHARA」ティザー映像公開,https://eiga.com/news/20230821/16/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
101,GPUのパフォーマンスをゲーム画面上にリアルタイム表示できて他社製GPUにも対応したIntel製性能測定ツール「PresentMon」が公開されたので使ってみた,https://gigazine.net/news/20230821-intel-presentmon-graphic-performance-test/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
102,世界最大の半導体ファウンドリ「TSMC」を創業したモリス・チャンはどのような人生を送ってきたのか？,https://gigazine.net/news/20230821-tsmc-morris-chang/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
103,海外パークアイテム！ディズニーストア『ピーター・パン』70周年グッズ,https://mezzomiki.jp/post-267645/,MezzoMikiのディズニーブログ,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
104,「悪魔の毒々モンスター」リブート版のワールドプレミアが決定！,https://eiga.com/news/20230821/12/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
105,投票によって選ばれたカラー！オーディオテクニカ、限定ヘッドホン,https://itlifehack.jp/archives/10675345.html,ITライフハック,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
106,MicrosoftのAIがカナダ・オタワの見逃せない観光スポットとしてフードバンクを紹介したことが報告される,https://gigazine.net/news/20230821-microsoft-ai-food-bank-tourist-spot/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
107,スタジオポノック「屋根裏のラジャー」“経営危機”乗り越え完成へ 西村義明プロデューサー「大変な製作だった」,https://eiga.com/news/20230821/10/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
108,2023年8月21日のヘッドラインニュース,https://gigazine.net/news/20230821-headline/,GIGAZINE,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
109,米アップルTV＋の「モンスターバース」実写ドラマ、タイトルが明らかに,https://eiga.com/news/20230821/15/,映画ニュース - 映画.com,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
110,ドコモ、家計簿アプリ「スマート家計簿 スマー簿」を終了へ--利用は2024年1月まで,https://japan.cnet.com/article/35208051/,CNET Japan 最新情報 総合,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
111,[CDGC] Azure Data Factory のスキャン,https://qiita.com/tmasudaf23/items/5ac5af194005c38f2dbd?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
112,OpenShift on Power 完全オフライン環境でのインストール,https://qiita.com/mmitsugiw/items/571eb921e50a8a0b5327?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
113,Linuxの基本的なコマンドを解説してみた,https://qiita.com/john_HC20230703/items/e9f53722444e96fea525?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
114,インターン体験記(株式会社エイチーム),https://qiita.com/Kagari-hello-world/items/308c0b9756de0b0c7d57?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
115,AtCoderで使用可能なプログラミング言語がアップデートされたので実行速度を比較してみた(ABC314編),https://qiita.com/nabata/items/d482a4540c3d3dc4f0ca?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
116,明るさ・鮮やかさを正確に評価したいなら、HSB/HSV/HSL色空間より、OKLCH色空間を使おう,https://qiita.com/soi/items/9439ba59cef99b1a1ea5?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
117,[ERC5375] NFTの作者の情報や作者の証明を格納する仕組みを理解しよう！,https://qiita.com/cardene/items/ff4ed253fc6a793f6643?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
118,[ERC4337] プロトコルの変更をせずにAAを実装する仕組みを理解しよう！,https://qiita.com/cardene/items/8c97ca7c93c4557ebfc2?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
119,「スクラムって何？」という人物がワークショップを機に振り返ってみた,https://qiita.com/IU5akWrdw7Bd3l4/items/18e412bbbdd5f9c3515f?utm_campaign=popular_items&utm_medium=feed&utm_source=popular_items,Qiita - 人気の記事,"Published: Tue, 22 Aug 2023 22:00:00 GMT+9
Received: Tue, 22 Aug 2023 22:02:01 GMT+9"
